,Title,Tags,Related,Page1
0,AI Tool Accelerates Skin Cancer Detection in Veterans,,,"recognized skin diseases, malignant or benign ARTIFICIAL INTELLIGENCE AI Tool Accelerates Skin Cancer Detection in Veterans Skin cancer is the most common cancer in the U.S. with one in five Americans developing it in their lifetime. This risk can be even higher for service members and veterans – studies have shown they are often exposed to chemicals and high levels of ultraviolet radiation which can increase the risk of developing skin cancer. This makes the early screening and treatment even more critical to improve health outcomes. Working together with the Department of Veterans Affairs, GDIT developed an accessible tool that will quickly identify if a lesion may be cancerous. It uses deep learning artificial intelligence (AI) to classify images of skin lesions into seven common categories, determine if an image is indicative of a common skin disease, and recommend immediate follow-up care."
1,Arkansas: A First in Payment Reform,,,"DATA ANALYTICS Arkansas: A First in Payment Reform With the cost of healthcare climbing, state and local governments are constantly on the lookout for cost- saving ways to improve the quality of health for their people. For Arkansas, their concerns were two-fold. Not only did they have to contend with the estimated eight-percent annual cost increase of Medicaid, but the state’s Division of Medical Services (DMS) was facing a potential budget shortfall of $140 million. With cuts looming, state and private groups came together to investigate a breakthrough solution to a very real problem."
2,Cancer Research Empowered by the Cloud and Machine Learning,,,"HEALTH Cancer Research Empowered by the Cloud and Machine Learning Finding novel ways to treat and eradicate cancer, the second leading cause of death in the United States, continues to be the core focus for the National Institutes of Health (NIH) National Cancer Institute (NCI). In 2016, NCI issued a challenge to the global cancer research community to accelerate efforts to eradicate cancer.  In response, cancer researchers recommended that NCI establish a central data ecosystem to provide a repository for cancer data that would allow sharing of data generated by research for all cancer types. NCI’s Cancer Research Data Commons (CRDC) was born of that request and was created as a place for data discovery, patient participation, and disease surveillance in the interest of rapidly developing novel treatments and therapies. CRDC’s petabytes of data and billions upon billions of individual data points includes everything from genomics, proteomics, imaging, and cancer models to clinical trials, cohort studies and patient demographics. Its volume of data, number of users and contributing investigators are growing all the time. Today, CRDC empowers researchers with state-of-the-art visualization, analysis, and interoperability tools in a flexible, cloud-based computational environment. GDIT works with NCI’s CRDC to provide a flexible cloud environment enabling indexing of massive data sets and large-scale processing for applications such as artificial intelligence and machine learning."
3,Air Force Distributed Common Ground System Advances Global Joint Operations,,,"DIGITAL MODERNIZATION Air Force Distributed Common Ground System Advances Global Joint Operations For more than 20 years, GDIT has supported the United States Air Force Distributed Common Ground System (AF DCGS) and the decision makers who depend on it every day. This powerful weapon system is the only intelligence, surveillance, and reconnaissance (ISR) system developed to scale to support Air Force and Joint operations globally. Importantly, it ensures weaponized and secured data gets to the right people at the right time. AF DCGS is a strategic system that supports the Air Force globally. It not only manages sensitive data, but it also allows for the fusion of data from other weapon systems such as high-altitude and medium altitude ISR platforms to support rapid, and in most cases, real-time decision making. Its interoperability with other ISR-networked systems allows the Air Force to fully leverage its data assets to enhance U.S. and allied national security interests. The system is a critical element of what the Air Force calls the “sensing grid,” which enables agnostic sense-making – i.e., deriving intelligence that’s not oriented to a specific sensor or weapons system."
4,Twin Supercomputers Power Weather Forecasting,,,"HIGH-PERFORMANCE COMPUTING Twin Supercomputers Power Weather Forecasting The weather – it’s something all of us check every day and rely on to help plan and prepare. It’s vital information that also informs how farmers plan for the season, how cities allocate water and energy resources, how emergency management prepares for severe storms and flooding, and even how the Department of Defense conducts operations. That weather forecast will now become even more accurate and reliable, powered by new twin supercomputers deployed and operated by GDIT for the National Weather Service. On June 28, 2022, the Weather and Climate Operational Supercomputing System (WCOSS) 2  began running the NOAA operational forecast models  that are used for accurate and localized weather, water, climate, and space weather forecasts to support the National Oceanic and Atmospheric Administration’s weather forecasting mission to protect life and property. GDIT architected, deployed, operates, and manages the WCOSS 2 twin supercomputers that provide the computation power NOAA needs for complex and intense, real-time modeling of weather and climate data. Each of these new supercomputers provides to NOAA three times more computing power than their predecessors, and currently provides operational capabilities that include:"
5,Securely Connecting the Joint Force,,,"CYBER Securely Connecting the Joint Force GDIT’s ICAM Solution Protecting access to sensitive data and systems is important for any organization. For the Department of Defense, it's essential. Additionally, growing data volumes and complex information-sharing technologies compound both the challenge and the imperative of keeping sensitive and critical information secure. This reality led DoD leadership to undertake a significant initiative to prioritize an  ICAM  capability that would deliver services at the speed of the mission and with even greater connectivity, and that could also keep pace with the complex and intense advance of our cybersecurity adversaries. In response, GDIT built a DoD-wide ICAM capability that tracks user identities across networks and ensures access is limited to only those who can verify that they need it. The GDIT solution offers advanced, enterprise-wide user authentication capabilities"
6,DeepSky is Enabling Geospatial Systems of the Future,,,"INTELLIGENCE DeepSky is Enabling Geospatial Systems of the Future GDIT’s DeepSky lab mirrors government environments allowing teams to test new capabilities and collaborate with technology partners, industry partners, emerging technology companies and academia to incubate and prototype new solutions. This reduces the risk for customers and accelerates the development of capabilities in areas such as  cloud ,  AI ,  cyber ,  5G , and  high- performance computing . GDIT teams and customers in  St. Louis , Mo., Springfield, Va. and around the world can access DeepSky remotely and collaborate in real-time, accelerating innovation and feedback cycles and effectively demonstrate a solution before implementation. This multi- regional approach allows for replication and testing of multi-deployment, edge, and cloud solutions. In Action for Geospatial Customers"
7,Network Operations Center Increases Reliability for the FAA,,,"UAS registered through FAADroneZone airports & facilities offering LAANC servers for operations monitored 24/7/365 MANAGED SERVICES Network Operations Center Increases Reliability for the FAA There are over 1 million commercial and recreational drones registered with the Federal Aviation Authority (FAA). That number is only expected to increase as more individuals and businesses leverage drones. Every drone flying in the skies is required to be registered, and in 2015 the FAA turned to GDIT to ensure its drone registration system would be always available to users and working seamlessly. The agency quickly understood the importance of monitoring its drone registration site, FAADroneZone, a public-facing, highly trafficked site. An outage would be both frustrating for the site’s nearly 2 million users and damaging to the FAA’s reputation."
8,"Transforming Navy Services Through Secure, Cloud-Based, Artificial Intelligence",,,"DIGITAL MODERNIZATION Transforming Navy Services Through Secure, Cloud-Based, Artificial Intelligence The U.S. Navy Enterprise Service Desk (NESD) provides centralized information technology services to Sailors, Marines, civilians, and their support systems, both afloat and ashore, around the globe. This includes 24/7/365 technical troubleshooting, self-service, standardized tools, reporting and more. The Navy Program Executive Office for Digital and Enterprise Services is the Navy’s enterprise-wide information technology acquisition arm. Today, it is working to digitally transform key systems in order to evolve and deliver modern capabilities and technologies that will enable the Navy to maintain its competitive edge while also meeting demands from its user communities. GDIT was selected to support this important work as the sole Managed Service Provider, offering Service Desk as a Service capabilities intended to evolve the Navy’s Tier-1 IT service desks from their current status as human-centered, subject matter expert-based systems to a single, powerful knowledge-based solution. Services That Get Smarter with Every Transaction The GDIT solution, which will support thousands of Navy personnel around the globe, will be underpinned by a modernized infrastructure hosted in a secure AWS GovCloud IL4 (ultimately IL6) cloud environment and will leverage artificial intelligence, machine learning, predictive analytics, and natural language processing to create an adaptive solution that becomes “smarter” with every transaction. This paves the way for the Navy to continue to accelerate its adoption of more efficient and effective IT support across the Navy Systems Commands. Ultimately, it will enable Sailors, Marines, and civilians to more quickly and efficiently achieve critical mission outcomes."
9,Casting New Light on Hidden Brain Injuries,,,"LIFE SCIENCE AND MEDICAL RESEARCH Casting New Light on Hidden Brain Injuries Thousands of veterans return home from duty with scars invisible to the naked eye: traumatic brain injury (TBI). Linked to depression, substance abuse and PTSD, and manifesting as memory loss, headaches, dizziness, and confusion, TBI has been called a signature wound of modern warfare. mTBI: Finding the needle in a haystack. Nearly two decades since the attacks on 9/11 and TBI remains astonishingly difficult to diagnose. The challenge isn’t diagnosing severe cases like penetrating injuries  to the head. Rather, it’s in the subtler ways blows or indirect injuries to the head or face can often go unnoticed. We call these mild TBI, or “mTBI.” For years, the medical community has gone along with this broader umbrella term because we lacked the tools to quantify the physiological distinctions. Until now. Today, new, more powerful MRIs, coupled with advanced digital-image processing, give us access to nuances that before were impossible to identify. These improved glimpses into brain function are helping doctors to"
